               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081689,             0.28495,            0.036503,             0.72675,             0.59844,             0.49646,             0.35273,            0.041867,              0.1725,             0.02676,             0.07006,           0.0033267,           0.0033267
                   1,            0.053164,             0.22065,            0.025093,             0.86462,             0.58619,             0.65841,             0.42327,            0.039368,              0.1623,             0.02057,            0.039928,           0.0065281,           0.0065281
                   2,            0.049928,             0.20704,             0.01421,             0.97346,             0.67354,             0.73033,             0.58667,            0.034776,             0.14022,           0.0088012,           0.0096643,           0.0095976,           0.0095976
                   3,            0.043217,             0.18696,           0.0098585,              0.9876,             0.68989,             0.75685,             0.62681,            0.030344,             0.12872,           0.0076406,            0.009406,            0.009406,            0.009406
                   4,             0.03861,             0.17008,           0.0085515,             0.99239,             0.70109,             0.83999,             0.71677,            0.028497,             0.11703,           0.0069492,            0.009406,            0.009406,            0.009406
                   5,            0.035518,              0.1575,            0.007923,             0.99403,             0.70587,             0.92059,              0.7971,             0.02483,             0.10616,           0.0060838,            0.009208,            0.009208,            0.009208
                   6,            0.033799,               0.151,           0.0075178,             0.99473,             0.70912,             0.93304,             0.82978,            0.022555,            0.099566,           0.0060159,             0.00901,             0.00901,             0.00901
                   7,            0.031654,             0.14202,           0.0071839,             0.99532,             0.70903,             0.93763,             0.83956,            0.022709,             0.10017,            0.005721,            0.008812,            0.008812,            0.008812
                   8,             0.03038,             0.13672,            0.006942,              0.9958,             0.71212,             0.93982,             0.85591,            0.020783,            0.093169,           0.0058927,            0.008614,            0.008614,            0.008614
                   9,             0.02947,             0.13274,           0.0066788,             0.99623,             0.71315,              0.9444,             0.86336,            0.020564,            0.090314,           0.0053788,            0.008416,            0.008416,            0.008416
                  10,            0.028599,             0.12811,           0.0065361,             0.99658,             0.71578,             0.94859,             0.86169,            0.020313,            0.090949,           0.0052738,            0.008218,            0.008218,            0.008218
                  11,            0.028046,             0.12791,           0.0064426,             0.99699,             0.71596,             0.94816,             0.87308,            0.019231,            0.088432,           0.0053118,             0.00802,             0.00802,             0.00802
                  12,            0.027362,              0.1234,           0.0062754,              0.9969,             0.71661,             0.94939,             0.85823,            0.023644,            0.099893,           0.0053519,            0.007822,            0.007822,            0.007822
                  13,            0.026727,             0.12098,           0.0061645,             0.99727,             0.71814,             0.95223,             0.86691,             0.02097,            0.091955,           0.0051573,            0.007624,            0.007624,            0.007624
                  14,            0.026158,             0.11817,            0.006094,             0.80959,             0.82991,             0.95193,             0.87673,            0.018511,            0.082655,           0.0048565,            0.007426,            0.007426,            0.007426
                  15,            0.025822,             0.11692,           0.0059119,             0.90884,             0.83607,             0.94206,             0.86467,            0.020649,             0.09023,           0.0046947,            0.007228,            0.007228,            0.007228
                  16,            0.025242,             0.11441,           0.0057079,              0.9526,             0.85594,             0.94794,              0.8748,             0.01933,            0.085731,           0.0045599,             0.00703,             0.00703,             0.00703
                  17,            0.024975,               0.114,           0.0056164,             0.98078,             0.87725,              0.9443,             0.87813,            0.017789,             0.08052,            0.004567,            0.006832,            0.006832,            0.006832
                  18,              0.0244,             0.11022,           0.0055373,             0.98617,             0.87997,              0.9524,             0.88988,            0.017604,            0.079309,           0.0043674,            0.006634,            0.006634,            0.006634
                  19,            0.024026,             0.10811,           0.0054517,             0.98787,             0.88841,             0.95508,             0.89149,            0.017451,            0.078999,           0.0042847,            0.006436,            0.006436,            0.006436
                  20,            0.023422,             0.10651,           0.0053854,             0.99049,             0.89161,             0.95393,             0.89548,            0.017329,            0.078075,           0.0042206,            0.006238,            0.006238,            0.006238
                  21,             0.02336,             0.10538,           0.0053155,             0.98654,             0.88893,             0.95366,             0.89107,            0.017983,            0.079644,           0.0041014,             0.00604,             0.00604,             0.00604
                  22,            0.023033,             0.10362,            0.005242,             0.97586,             0.87779,             0.95378,             0.89515,            0.017583,            0.079723,           0.0040869,            0.005842,            0.005842,            0.005842
                  23,            0.022883,             0.10376,           0.0051775,             0.98839,             0.89669,             0.95741,             0.89948,            0.017073,            0.077862,           0.0040636,            0.005644,            0.005644,            0.005644
                  24,            0.022496,              0.1019,           0.0050785,             0.98305,             0.88648,             0.95842,             0.90219,            0.017165,            0.077095,           0.0039661,            0.005446,            0.005446,            0.005446
                  25,            0.022278,             0.10014,           0.0049983,             0.98212,             0.89629,              0.9577,             0.90127,            0.016775,             0.07611,           0.0038757,            0.005248,            0.005248,            0.005248
                  26,             0.02204,            0.099535,           0.0049816,             0.96794,             0.91016,             0.95874,             0.89987,            0.017205,             0.07695,           0.0037814,             0.00505,             0.00505,             0.00505
                  27,             0.02169,            0.097972,           0.0048892,             0.98991,             0.91716,             0.96001,              0.9041,            0.016598,            0.075355,           0.0036909,            0.004852,            0.004852,            0.004852
                  28,              0.0214,             0.09644,           0.0047703,             0.99156,             0.92496,             0.96059,             0.90573,            0.016613,            0.074798,           0.0035736,            0.004654,            0.004654,            0.004654
                  29,            0.021069,            0.094539,           0.0046828,              0.9952,             0.92699,             0.96387,             0.91146,            0.016737,            0.076426,           0.0034903,            0.004456,            0.004456,            0.004456
                  30,            0.020901,            0.093998,            0.004622,             0.99492,             0.92862,             0.96407,             0.91427,            0.016534,            0.075015,           0.0034741,            0.004258,            0.004258,            0.004258
                  31,            0.020599,            0.093284,           0.0045587,             0.99291,             0.93153,              0.9646,             0.91496,            0.016544,            0.074935,           0.0034448,             0.00406,             0.00406,             0.00406
                  32,            0.020241,            0.090594,           0.0044798,             0.99434,             0.93461,             0.96652,             0.91829,            0.016321,            0.073462,           0.0033875,            0.003862,            0.003862,            0.003862
                  33,            0.020047,            0.089697,            0.004438,              0.9938,             0.93673,             0.96819,             0.92038,            0.016345,             0.07393,           0.0033288,            0.003664,            0.003664,            0.003664
                  34,            0.020062,            0.090064,            0.004409,             0.99503,             0.93782,             0.96803,             0.91858,            0.016413,            0.074346,           0.0032887,            0.003466,            0.003466,            0.003466
                  35,            0.019647,            0.087813,           0.0043595,             0.99536,             0.93786,             0.96885,             0.92109,            0.016276,            0.073469,           0.0032531,            0.003268,            0.003268,            0.003268
                  36,            0.019353,            0.085818,           0.0043276,             0.99249,             0.94129,             0.97003,             0.92244,            0.016121,            0.073487,           0.0032104,             0.00307,             0.00307,             0.00307
                  37,            0.019233,             0.08609,           0.0042808,             0.99311,             0.94382,              0.9703,              0.9219,            0.016278,            0.073723,           0.0031524,            0.002872,            0.002872,            0.002872
                  38,            0.019027,            0.084404,           0.0042788,             0.99385,             0.94474,             0.97097,             0.92509,            0.016051,            0.072875,           0.0031427,            0.002674,            0.002674,            0.002674
                  39,            0.018805,            0.083179,           0.0042285,             0.99425,             0.94517,             0.97201,             0.92414,            0.016181,            0.073308,            0.003111,            0.002476,            0.002476,            0.002476
                  40,            0.018471,            0.081346,            0.004151,             0.99401,              0.9452,               0.972,             0.92542,            0.016048,            0.072938,           0.0030846,            0.002278,            0.002278,            0.002278
                  41,            0.018229,            0.080091,           0.0040974,             0.99446,             0.94586,             0.97269,             0.92491,            0.016139,            0.073201,           0.0030464,             0.00208,             0.00208,             0.00208
                  42,            0.018159,            0.079579,            0.004128,             0.99497,             0.94744,             0.97299,             0.92586,            0.016039,            0.073393,           0.0030221,            0.001882,            0.001882,            0.001882
